City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
165,Bredasdorp,ZA,2021-07-06 17:02:12,-34.5322,20.0403,47.28,86,5,1.01,clear sky
166,Tuy Hoa,VN,2021-07-06 16:58:54,13.0833,109.3,76.77,89,97,4.34,overcast clouds
167,Mormugao,IN,2021-07-06 17:02:12,15.4,73.8,82.11,83,44,8.59,light rain
168,Avallon,FR,2021-07-06 17:02:12,47.4833,3.9,67.14,73,95,9.4,overcast clouds
169,Bethalto,US,2021-07-06 17:02:13,38.9092,-90.0407,90.73,62,40,4.61,scattered clouds
170,Khao Yoi,TH,2021-07-06 17:02:13,13.2403,99.8243,82.89,76,100,2.51,overcast clouds
171,Provideniya,RU,2021-07-06 17:02:13,64.3833,-173.3,46.08,88,100,5.46,overcast clouds
172,Oranjemund,NA,2021-07-06 17:02:14,-28.55,16.4333,55.78,76,0,8.08,clear sky
173,Mianyang,CN,2021-07-06 17:02:14,31.4593,104.7542,76.35,81,96,0.58,overcast clouds
174,Beringovskiy,RU,2021-07-06 17:02:14,63.05,179.3167,40.05,90,33,4.29,scattered clouds
175,The Valley,AI,2021-07-06 17:02:15,18.217,-63.0578,85.1,74,20,21.14,few clouds
176,Sambava,MG,2021-07-06 17:02:15,-14.2667,50.1667,72.21,80,25,13.82,light rain
177,Arlit,NE,2021-07-06 17:02:15,18.7369,7.3853,111.38,5,82,21.39,broken clouds
178,Arecibo,PR,2021-07-06 17:02:15,18.4724,-66.7157,91.56,70,85,10.0,overcast clouds
179,Upernavik,GL,2021-07-06 17:02:16,72.7868,-56.1549,34.75,78,100,8.3,overcast clouds
180,Hobyo,SO,2021-07-06 17:02:16,5.3505,48.5268,78.58,79,74,27.51,broken clouds
181,Cartagena,CO,2021-07-06 17:00:13,10.3997,-75.5144,87.13,66,13,8.39,few clouds
182,Kupang,ID,2021-07-06 17:02:16,-10.1667,123.5833,75.52,75,76,12.01,broken clouds
183,Cherskiy,RU,2021-07-06 17:02:17,68.75,161.3,38.77,91,100,18.07,light rain
184,Korla,CN,2021-07-06 17:02:17,41.7597,86.1469,90.64,17,33,4.74,scattered clouds
185,Souillac,MU,2021-07-06 17:01:05,-20.5167,57.5167,73.36,76,4,13.06,clear sky
186,Ciudad Bolivar,VE,2021-07-06 17:02:18,8.1222,-63.5497,86.7,56,69,10.27,broken clouds
187,Kiambu,KE,2021-07-06 17:02:18,-1.1667,36.8333,64.67,77,91,0.27,light rain
188,Igarka,RU,2021-07-06 17:02:18,67.4667,86.5833,47.26,62,62,10.16,broken clouds
189,Ust-Kuyga,RU,2021-07-06 17:02:18,70.0167,135.6,54.36,53,100,5.19,overcast clouds
190,Mozarlandia,BR,2021-07-06 17:01:42,-14.7447,-50.5706,92.88,16,0,2.15,clear sky
191,Ibra,OM,2021-07-06 17:02:19,22.6906,58.5334,84.11,55,36,12.5,scattered clouds
192,Longyearbyen,SJ,2021-07-06 17:02:19,78.2186,15.6401,48.04,57,20,18.41,fog
193,Cidreira,BR,2021-07-06 17:02:20,-30.1811,-50.2056,62.37,81,2,14.67,clear sky
194,Callaway,US,2021-07-06 17:02:20,30.153,-85.5699,86.18,90,75,3.0,broken clouds
195,Matane,CA,2021-07-06 17:02:20,48.8286,-67.522,69.55,71,80,10.74,broken clouds
196,Byron Bay,AU,2021-07-06 17:02:20,-28.65,153.6167,48.87,80,15,8.77,few clouds
197,Mumbwa,ZM,2021-07-06 17:02:21,-14.9783,27.0619,61.54,44,1,4.63,clear sky
198,Mosquera,CO,2021-07-06 16:58:46,4.7059,-74.2302,64.49,52,40,9.22,scattered clouds
199,Sobolevo,RU,2021-07-06 17:02:21,54.4299,31.8996,70.21,75,20,6.22,few clouds
200,Bichura,RU,2021-07-06 17:02:21,50.5881,107.6022,65.93,64,25,3.8,scattered clouds
201,Petatlan,MX,2021-07-06 17:02:22,17.5167,-101.2667,86.29,61,100,3.53,overcast clouds
202,Mariental,NA,2021-07-06 17:02:22,-24.6333,17.9667,65.48,13,0,5.99,clear sky
203,Kaitangata,NZ,2021-07-06 17:02:22,-46.2817,169.8464,42.67,88,100,15.43,light rain
204,Montepuez,MZ,2021-07-06 17:02:23,-13.1256,38.9997,70.09,54,100,8.52,overcast clouds
205,Trinidad,BO,2021-07-06 17:02:23,-14.8333,-64.9,88.2,36,0,5.39,clear sky
206,La Maddalena,IT,2021-07-06 17:02:23,41.2142,9.4083,87.96,71,0,12.24,clear sky
207,Nuuk,GL,2021-07-06 17:02:24,64.1835,-51.7216,43.41,93,90,5.75,light rain
208,Dunda,TZ,2021-07-06 17:02:24,-8.1167,34.25,66.38,36,29,7.92,scattered clouds
209,Havoysund,NO,2021-07-06 17:02:24,70.9963,24.6622,74.28,69,28,9.69,scattered clouds
210,Nyimba,ZM,2021-07-06 17:02:25,-14.5566,30.8149,68.86,36,3,10.67,clear sky
211,Viby,DK,2021-07-06 16:59:26,55.5487,12.0239,67.59,91,90,8.05,moderate rain
212,Umm Kaddadah,SD,2021-07-06 17:02:25,13.6017,26.6876,95.92,27,98,11.41,overcast clouds
213,Udachnyy,RU,2021-07-06 17:02:25,66.4167,112.4,61.88,93,100,7.0,overcast clouds
214,Castro,BR,2021-07-06 17:02:26,-24.7911,-50.0119,61.81,63,33,5.64,scattered clouds
215,Horsham,GB,2021-07-06 17:02:26,51.064,-0.3272,64.13,76,40,13.8,scattered clouds
216,Anadyr,RU,2021-07-06 17:02:26,64.75,177.4833,37.0,100,82,8.01,broken clouds
217,Nemuro,JP,2021-07-06 17:02:27,43.3236,145.575,56.17,99,100,15.97,overcast clouds
218,Vila Velha,BR,2021-07-06 17:00:23,-20.3297,-40.2925,74.97,67,33,12.71,scattered clouds
219,Alice Springs,AU,2021-07-06 17:02:27,-23.7,133.8833,36.95,56,1,4.61,clear sky
220,Baghdad,IQ,2021-07-06 17:00:42,33.3406,44.4009,102.06,12,0,9.75,clear sky
221,Ustye,RU,2021-07-06 17:02:27,59.6304,39.736,71.94,60,0,0.65,clear sky
222,Ngunguru,NZ,2021-07-06 17:02:28,-35.6167,174.5,58.48,95,100,15.05,moderate rain
223,Cuorgne,IT,2021-07-06 17:02:28,45.3895,7.6499,79.07,73,86,1.01,overcast clouds
224,Oyonnax,FR,2021-07-06 17:02:28,46.2592,5.6573,65.25,99,100,2.66,overcast clouds
225,Novyy Karachay,RU,2021-07-06 17:02:29,43.8208,41.9032,62.28,95,64,1.95,broken clouds
226,Ambilobe,MG,2021-07-06 17:02:29,-13.2,49.05,69.93,72,22,2.89,few clouds
227,Georgetown,MY,2021-07-06 16:58:51,5.4112,100.3354,78.73,92,20,1.14,light rain
228,Saint George,US,2021-07-06 17:00:10,37.1041,-113.5841,100.87,17,23,1.01,few clouds
229,Port Blair,IN,2021-07-06 17:02:29,11.6667,92.75,82.51,78,100,13.82,overcast clouds
230,Bundaberg,AU,2021-07-06 17:02:30,-24.85,152.35,54.21,95,2,1.99,clear sky
231,Kuala Terengganu,MY,2021-07-06 17:02:30,5.3302,103.1408,77.36,87,100,6.67,light rain
232,Zhigansk,RU,2021-07-06 17:02:30,66.7697,123.3711,56.93,66,100,10.4,overcast clouds
233,Barreirinhas,BR,2021-07-06 17:02:31,-2.7469,-42.8264,84.97,67,29,4.79,scattered clouds
234,Kodiak,US,2021-07-06 17:02:31,57.79,-152.4072,51.69,88,100,0.27,overcast clouds
235,Chokurdakh,RU,2021-07-06 17:02:31,70.6333,147.9167,51.35,64,67,11.14,broken clouds
236,San Lawrenz,MT,2021-07-06 17:02:32,36.0553,14.204,83.61,75,0,6.04,clear sky
