City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
129,Miles City,US,79.52,scattered clouds,46.4083,-105.8406,FairBridge Inn & Suites Miles City
130,Laguna,US,87.21,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
131,Ponta Do Sol,PT,76.71,few clouds,32.6667,-17.1,Hotel do Campo
132,Lorengau,PG,80.2,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
143,Chalus,IR,82.0,clear sky,36.655,51.4204,نظام مهندسي ساختمان چالوس
146,Bathsheba,BB,83.23,scattered clouds,13.2167,-59.5167,Atlantis Hotel
148,Jamestown,US,84.29,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
149,Sao Filipe,CV,75.4,overcast clouds,14.8961,-24.4956,Hotel Xaguate
152,Arshan,RU,75.58,few clouds,46.2732,44.22,Guest House The Green Village
154,Kavieng,PG,81.91,light rain,-2.5744,150.7967,Nusa Island Retreat
155,Sao Jose Da Coroa Grande,BR,78.91,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
156,Tafresh,IR,82.58,clear sky,34.692,50.013,هتل یاس سفید
157,Pasuruan,ID,75.09,overcast clouds,-7.6453,112.9075,Pasuruan Hotel
158,Ofaqim,IL,81.73,clear sky,31.3141,34.6203,The Negev Experience
159,Bubaque,GW,80.24,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
163,Fomboni,KM,77.68,clear sky,-12.28,43.7425,Pension Paradis
166,Tuy Hoa,VN,76.77,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
167,Mormugao,IN,82.11,light rain,15.4,73.8,Coconut Creek Resort
170,Khao Yoi,TH,82.89,overcast clouds,13.2403,99.8243,เปิ้ล ทำเบาะ
173,Mianyang,CN,76.35,overcast clouds,31.4593,104.7542,如家快捷酒店
175,The Valley,AI,85.1,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
180,Hobyo,SO,78.58,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
181,Cartagena,CO,87.13,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
182,Kupang,ID,75.52,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
186,Ciudad Bolivar,VE,86.7,broken clouds,8.1222,-63.5497,Hotel Edi
191,Ibra,OM,84.11,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
194,Callaway,US,86.18,broken clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
201,Petatlan,MX,86.29,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
205,Trinidad,BO,88.2,clear sky,-14.8333,-64.9,Hotel Piesta
206,La Maddalena,IT,87.96,clear sky,41.2142,9.4083,Hotel Il Gabbiano
223,Cuorgne,IT,79.07,overcast clouds,45.3895,7.6499,B&B Il Grillo Bianco
227,Georgetown,MY,78.73,light rain,5.4112,100.3354,Cititel Penang
229,Port Blair,IN,82.51,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
231,Kuala Terengganu,MY,77.36,light rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
233,Barreirinhas,BR,84.97,scattered clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
236,San Lawrenz,MT,83.61,clear sky,36.0553,14.204,San Andrea Hotel
247,Chabahar,IR,83.5,scattered clouds,25.2919,60.643,هتل گدروشیا
251,Kirakira,SB,78.64,light rain,-10.4544,161.9205,SanBiz Lodge
252,Mitsamiouli,KM,77.9,few clouds,-11.3847,43.2844,Foyer ADM
253,Lasa,IT,78.71,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
258,Sur,OM,86.11,clear sky,22.5667,59.5289,Sur Plaza Hotel
259,Victoria,HK,84.16,light rain,22.2855,114.1577,Mini Hotel Central
263,Ishigaki,JP,84.06,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
265,Ca Mau,VN,77.86,light rain,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
273,Makakilo City,US,75.69,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
275,Zhezkazgan,KZ,82.78,scattered clouds,47.8043,67.7144,Hotel Zumrat
289,Xacmaz,AZ,76.19,clear sky,41.4635,48.806,SAHİL HOTEL
292,Coahuayana,MX,87.42,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
293,Mbandaka,CD,78.8,overcast clouds,0.0487,18.2603,Guest House Epervier
298,Pozo Colorado,PY,87.75,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
299,Jiayuguan,CN,75.25,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
306,Ewa Beach,US,77.09,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
315,Sibolga,ID,76.42,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
316,Kiruna,SE,77.92,clear sky,67.8557,20.2251,Camp Ripan
321,Praia,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
324,Kannangad,IN,80.58,scattered clouds,12.3081,75.1063,Hotel Landmark
326,Katsuura,JP,77.18,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
327,Nishihara,JP,82.06,few clouds,26.1842,127.7558,Minshuku Agaihama
328,Namatanai,PG,79.23,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
336,Havelock,US,85.98,broken clouds,34.8791,-76.9013,Sherwood Motel
337,Nantucket,US,80.94,clear sky,41.2835,-70.0995,Jared Coffin House
338,Dhidhdhoo,MV,82.74,broken clouds,6.8833,73.1,Dhidhoo beach
346,Monte Alegre,BR,86.99,clear sky,-2.0078,-54.0692,Hotel Shekinah
348,Venice,US,83.21,moderate rain,27.0998,-82.4543,A Beach Retreat On Casey Key
355,Hirara,JP,83.68,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
358,Remedios,CU,87.62,overcast clouds,22.4947,-79.5458,Hostal Yunai
363,Hambantota,LK,80.71,overcast clouds,6.1241,81.1185,Bungalow 63
364,Ayagoz,KZ,75.18,overcast clouds,47.9714,80.4392,Gostinitsa Nur
365,Shenzhen,CN,83.21,broken clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
369,Rudsar,IR,80.83,clear sky,37.1376,50.288,Hotel Bahar
371,Osmena,PH,78.48,light rain,10.5208,119.9258,Arjemarkyza Lodge
380,Kem,RU,76.6,overcast clouds,64.9555,34.5793,"Mini-hotel ""Kem"""
385,Bacolod,PH,76.78,overcast clouds,10.6667,122.95,Planta Hotel & Residences
390,Tura,IN,75.43,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
395,San Patricio,US,81.01,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
399,Lincoln,US,88.12,broken clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
401,Wanning,CN,79.48,overcast clouds,18.8003,110.3967,Paradise Hotel
406,Yanggu,CN,77.92,overcast clouds,36.1106,115.7753,Supply And Marketing Hotel
408,Aksu,CN,85.03,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
417,Xuddur,SO,79.3,overcast clouds,4.1213,43.8894,Banjanay Hotel
418,Mahibadhoo,MV,82.85,overcast clouds,3.7833,72.9667,Omadhoo Inn
424,Alugan,PH,79.2,scattered clouds,12.2188,125.4808,JM Lodge
427,Puerto Colombia,CO,85.66,clear sky,10.9878,-74.9547,Hotel El Emigrante
428,Carutapera,BR,83.23,clear sky,-1.195,-46.02,Lidera
431,Les Cayes,HT,83.77,overcast clouds,18.2,-73.75,Villa Orphee
436,Czersk,PL,84.54,scattered clouds,53.7959,17.9765,Stadnina Cheval i Pensjonat
437,Aquiraz,BR,87.89,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
440,Morgan City,US,88.0,scattered clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
442,Santa Rosa,PH,78.12,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
444,Alpena,US,89.74,few clouds,45.0617,-83.4327,Days Inn by Wyndham Alpena
448,Vanimo,PG,77.86,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
449,Dharur,IN,84.24,broken clouds,18.8167,76.1167,Hotel Rajmahal
450,Komsomolskiy,UZ,88.52,few clouds,40.4272,71.7189,Ikathouse
